date,open,high,low,close,volume
08/02/2013,25.9635,26.28,25.7157,25.8528,25649820
11/02/2013,25.5685,26.0071,24.9714,25.4128,29321782
12/02/2013,25.8085,26.2228,25.1014,25.4214,34388802
13/02/2013,25.8428,26.6285,25.6657,26.6098,40799094
14/02/2013,26.7557,27.1214,26.3844,26.7714,31968685
15/02/2013,26.9385,27.1428,26.6085,27.0731,26651786
19/02/2013,27.2857,28.1671,27.1643,28.0643,34126330
20/02/2013,28.2257,28.2314,26.6428,26.7314,34992125
21/02/2013,26.5714,27.4571,26.0714,26.7357,36822583
22/02/2013,26.2457,26.2557,25.49,25.6943,38841173
25/02/2013,25.8557,26.7285,25.0643,25.6171,52156104
26/02/2013,25.8,26.46,25.0857,26.2985,33878621
27/02/2013,26.2257,26.5714,25.7944,26.3314,22583071
28/02/2013,26.2585,27.4473,26.2157,26.8685,34291733
01/03/2013,26.73,27.1914,26.6014,27.0528,21448756
04/03/2013,26.9543,27.1543,25.2371,25.8871,47820353
05/03/2013,26.3814,26.4728,25.44,25.9614,32308045
06/03/2013,26.0214,26.4228,25.6543,26.1343,17400376
07/03/2013,25.7143,26.0714,25.1657,25.9371,28692944
08/03/2013,26.0643,26.55,25.8157,26.3857,23508898
11/03/2013,26.2857,26.36,25.5728,25.7785,21013853
12/03/2013,25.6228,26.31,25.6071,26.0157,21151053
13/03/2013,26.7714,27.8843,26.6785,27.48,53814523
14/03/2013,27.5271,27.5271,26.7243,26.91,28450744
15/03/2013,27.0357,27.1414,26.3643,26.4071,20662355
18/03/2013,25.9114,26.6814,25.7931,26.5128,18048226
19/03/2013,26.5714,26.6785,25.6071,25.91,19868674
20/03/2013,26.0885,26.2642,25.7757,26.15,11131960
21/03/2013,26.0428,26.7714,25.9957,25.9985,18801734
22/03/2013,26.1571,26.2657,25.6428,25.9,14187971
25/03/2013,26.0614,26.4057,25.6814,25.8271,15024583
26/03/2013,26.2857,27.52,26.2285,27.23,46804100
27/03/2013,27.0914,28.1514,26.9043,27.1771,40471914
28/03/2013,27.25,27.5571,26.9428,27.04,19584607
01/04/2013,27.2785,27.3571,25.9243,26.0614,22933365
02/04/2013,26.2714,26.4542,25.1571,25.2414,32276853
03/04/2013,25.2935,25.4757,23.4657,24.2485,75354062
04/04/2013,23.91,24.304,23.4014,23.8128,34456926
05/04/2013,23.36,24.3571,23.2185,23.5228,32512256
08/04/2013,23.69,23.7571,22.7143,23.2943,31743943
09/04/2013,23.3557,24.4814,23.15,24.1943,34045361
10/04/2013,24,24.2071,23.5585,23.7243,29708994
11/04/2013,24.1185,24.7714,24.1171,24.7157,32878902
12/04/2013,25.2843,25.3771,24.4573,24.7428,37795758
15/04/2013,25.08,26.0499,24.9714,25.2143,46524275
16/04/2013,24.9957,25.39,24.61,25.1214,29708945
17/04/2013,24.9057,25.3414,24.0385,24.1943,27543747
18/04/2013,24.4285,24.5571,23.1143,23.4028,23109254
19/04/2013,23.6428,24.1671,23.29,23.3385,20157452
22/04/2013,23.6743,25.2143,23.6743,24.91,83741056
23/04/2013,30.7957,31.34,29.93,30.9985,114777621
24/04/2013,31.0857,32.0428,30.46,30.96,46890739
25/04/2013,30.9971,31.2557,30.4671,30.5357,29270563
26/04/2013,31,31.0185,30.36,30.7928,21777385
29/04/2013,30.9443,31.1043,30.2871,30.7161,20785107
30/04/2013,30.6571,31.3928,30.6057,30.8671,25070199
01/05/2013,30.8457,31.0555,30.2357,30.4157,18358578
02/05/2013,30.4628,30.7785,30.0271,30.6414,18327099
03/05/2013,30.8257,31.1757,30.3857,30.4928,15431423
06/05/2013,29.9471,30.35,29.1457,30.0985,31730426
07/05/2013,29.8257,30.0743,29.3714,29.4643,17071985
08/05/2013,29.2757,30.0571,29.2185,29.8014,17622528
09/05/2013,29.7185,31.2685,29.5028,30.9157,36105776
10/05/2013,30.9157,31.3928,30.6514,31.0991,18844490
