userId,itemId,rating
0,0,5.0
1,1,5.0
2,2,5.0
3,3,5.0
4,4,3.0
5,2,4.0
6,5,5.0
7,4,4.0
8,3,4.0
9,6,5.0
10,7,5.0
11,8,2.0
12,9,4.0
13,10,5.0
14,6,4.0
15,5,4.0
16,5,3.0
17,6,4.0
18,11,5.0
19,5,5.0
20,5,4.0
21,12,5.0
22,5,5.0
23,4,5.0
24,13,3.0
25,5,5.0
26,4,4.0
27,14,4.0
28,5,5.0
29,5,5.0
30,5,5.0
31,12,5.0
32,5,5.0
33,5,4.0
34,14,5.0
35,3,2.0
36,9,5.0
37,15,4.0
38,16,4.0
39,3,1.0
40,17,5.0
41,18,5.0
42,16,5.0
43,5,5.0
44,14,3.0
45,19,5.0
46,20,5.0
47,12,4.0
48,21,5.0
49,3,3.0
50,2,4.0
51,22,4.0
52,5,5.0
53,5,5.0
54,23,5.0
55,5,4.0
56,5,3.0
57,24,3.0
58,5,5.0
59,25,4.0
60,1,3.0
61,5,4.0
62,5,5.0
63,9,5.0
64,26,4.0
65,27,5.0
66,7,5.0
67,14,5.0
68,14,5.0
69,5,5.0
70,5,5.0
71,14,5.0
72,5,5.0
73,5,5.0
74,14,5.0
75,16,5.0
76,9,5.0
77,16,5.0
78,4,5.0
79,19,5.0
80,3,2.0
81,28,5.0
82,16,5.0
83,29,4.0
84,4,3.0
85,6,5.0
86,30,5.0
87,3,4.0
88,31,5.0
89,5,5.0
90,3,3.0
91,32,3.0
92,1,5.0
93,4,5.0
94,10,5.0
95,12,4.0
96,4,5.0
97,3,4.0
98,3,3.0
99,33,5.0
100,14,4.0
101,12,3.0
102,2,4.0
103,6,5.0
104,5,5.0
105,34,5.0
106,16,4.0
107,35,3.0
108,5,5.0
109,4,2.0
110,12,5.0
111,16,5.0
112,5,5.0
113,16,5.0
114,23,5.0
115,36,3.0
116,16,3.0
117,37,3.0
118,5,5.0
119,4,4.0
120,7,5.0
121,5,5.0
122,25,5.0
123,38,5.0
124,5,5.0
125,5,5.0
126,12,5.0
127,33,4.0
128,5,5.0
129,5,4.0
130,5,5.0
131,14,5.0
132,14,5.0
133,5,5.0
134,5,5.0
135,10,5.0
136,39,5.0
137,5,5.0
138,12,5.0
139,4,5.0
140,4,5.0
141,5,5.0
142,6,5.0
143,5,5.0
144,12,5.0
145,40,4.0
146,5,5.0
147,25,3.0
148,5,4.0
149,5,5.0
150,5,5.0
151,1,5.0
152,5,5.0
153,6,5.0
154,12,5.0
155,5,5.0
156,6,5.0
157,9,5.0
158,6,5.0
159,5,5.0
160,41,4.0
161,4,5.0
162,9,5.0
163,38,5.0
164,12,5.0
165,5,4.0
166,9,5.0
167,10,5.0
168,1,5.0
169,42,3.0
170,43,3.0
171,5,5.0
172,5,5.0
173,44,4.0
174,5,5.0
175,45,4.0
176,23,3.0
177,12,1.0
178,46,5.0
179,38,4.0
180,5,5.0
181,47,3.0
182,7,5.0
183,48,4.0
184,49,5.0
185,5,5.0
186,4,5.0
187,38,4.0
188,9,5.0
189,45,4.0
190,6,4.0
191,5,5.0
192,11,5.0
193,19,5.0
194,28,5.0
195,3,5.0
196,11,2.0
197,5,4.0
198,14,4.0
199,45,3.0
200,50,5.0
201,45,3.0
202,4,2.0
203,6,5.0
204,14,5.0
205,5,5.0
206,5,5.0
207,6,4.0
208,12,5.0
209,14,5.0
210,6,4.0
211,16,5.0
212,6,5.0
213,16,5.0
214,38,4.0
215,12,5.0
216,5,5.0
217,51,4.0
218,4,5.0
219,6,4.0
220,52,5.0
221,5,4.0
222,5,5.0
223,4,3.0
224,5,5.0
225,53,1.0
226,12,4.0
227,6,5.0
228,5,5.0
229,6,3.0
230,54,5.0
231,5,4.0
232,5,5.0
233,5,5.0
234,19,4.0
235,7,1.0
236,1,5.0
237,55,4.0
238,5,4.0
239,56,3.0
240,5,5.0
241,16,5.0
242,5,5.0
