userId,itemId,rating
0,0,3.0
1,1,5.0
2,2,3.0
3,3,3.0
4,4,3.0
5,5,3.0
6,6,4.0
7,7,4.0
8,8,4.0
9,9,3.0
10,10,1.0
11,11,4.0
12,12,4.0
13,13,5.0
14,14,5.0
15,15,3.0
16,16,4.0
17,6,4.0
18,17,3.0
19,18,4.0
20,19,4.0
21,11,4.0
22,20,5.0
23,21,5.0
24,22,5.0
25,23,5.0
26,24,4.0
27,25,3.0
28,26,5.0
29,27,4.0
30,28,3.0
31,29,5.0
32,30,5.0
33,31,4.0
34,12,4.0
35,28,5.0
36,32,5.0
37,16,5.0
38,33,4.0
39,34,3.0
40,30,5.0
41,35,4.0
42,36,3.0
43,37,4.0
44,38,5.0
45,39,4.0
46,40,3.0
47,41,5.0
48,42,1.0
49,23,5.0
50,43,5.0
51,44,5.0
52,45,4.0
53,46,5.0
54,47,5.0
55,48,4.0
56,49,3.0
57,50,4.0
58,51,4.0
59,52,5.0
60,38,2.0
61,53,5.0
62,38,3.0
63,54,4.0
64,55,5.0
65,56,4.0
66,57,1.0
67,58,3.0
55,59,5.0
68,60,3.0
69,61,4.0
70,62,5.0
71,6,4.0
72,63,4.0
73,64,3.0
74,65,5.0
75,11,5.0
76,66,4.0
77,39,4.0
78,67,5.0
79,68,1.0
80,11,5.0
81,69,4.0
82,70,3.0
83,13,5.0
84,71,4.0
85,0,4.0
86,72,4.0
87,11,4.0
88,73,3.0
89,74,1.0
90,75,5.0
91,76,2.0
92,77,5.0
93,78,4.0
94,79,5.0
95,11,4.0
96,30,4.0
97,38,4.0
98,51,1.0
99,70,5.0
100,27,5.0
101,68,5.0
102,80,4.0
103,81,3.0
104,82,5.0
105,83,5.0
106,84,5.0
107,85,3.0
108,86,1.0
109,51,5.0
110,87,4.0
111,73,5.0
112,68,5.0
113,88,5.0
114,5,3.0
115,21,5.0
116,30,4.0
117,40,3.0
118,89,4.0
119,51,1.0
120,90,2.0
121,32,5.0
122,91,4.0
123,92,5.0
26,93,5.0
124,94,4.0
125,95,1.0
126,40,1.0
127,96,5.0
128,39,1.0
129,97,4.0
130,14,4.0
131,98,3.0
132,11,4.0
133,99,5.0
134,100,5.0
135,27,5.0
136,11,4.0
137,101,5.0
138,5,5.0
139,102,3.0
140,5,2.0
55,103,1.0
141,77,4.0
142,5,5.0
143,104,5.0
144,105,5.0
145,85,5.0
146,106,4.0
147,107,3.0
148,108,4.0
149,104,5.0
150,109,3.0
39,110,4.0
151,111,1.0
152,112,3.0
153,5,2.0
154,6,3.0
155,11,3.0
156,51,5.0
